Column1,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings,0,Res
0,24,62,30,32,32.5,14.4,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,1.7,5.9,7.7,3.7,1.6,0.8,0.6,2,31.9,20,1,-1.1,80,77.16587,2.83413
1,21,11,3,8,10.2,2.9,1.1,2.5,42.9,0.5,1.4,40,0.2,0.4,50,0.6,0.3,0.9,0.4,0.2,0.4,0,1.5,5.5,0,0,4.5,68,68.1033,-0.1033
2,28,66,21,45,26.6,15,4.9,11.6,41.8,1.8,4.6,38.5,3.6,4,88.7,0.7,3.5,4.3,2.9,1.4,0.9,0.3,1.9,26.7,1,0,-3.4,77,78.421684,-1.421684
3,35,55,24,31,15.9,3.6,1.2,3.3,35.7,0.9,2.6,33.8,0.4,0.5,72.4,0.6,2.2,2.8,0.8,0.6,0.3,0.2,1.3,9.2,1,0,-1.9,71,69.172844,1.827156
4,26,11,6,5,4.2,1,0.4,1.3,28.6,0,0.3,0,0.3,0.5,60,0.2,0.5,0.6,0.1,0.2,0.1,0.3,0.7,2.8,0,0,-1.1,67,68.518654,-1.518654
5,24,27,9,18,16.2,5.8,2.3,4.3,52.6,0,0.1,0,1.3,2.1,58.6,1.6,2.4,4,0.7,0.9,0.3,0.4,2.8,13,0,0,-0.1,72,72.199455,-0.199455
6,27,71,44,27,22.8,10.1,3.4,7.7,44.4,2.5,6.4,40,0.7,0.9,74.6,0.3,1.9,2.2,0.8,0.7,0.6,0.2,2.2,15.8,1,0,2.6,74,75.15731,-1.15731
7,25,65,19,46,29.4,11,4.1,9.4,43.7,1.9,4.9,38.3,1,1.4,67,0.6,3,3.6,2.4,1.4,0.8,0.2,2.5,20.7,2,0,-5.4,75,73.99882,1.00118
8,23,47,20,27,10.2,4.7,2,3,64.8,0,0.1,33.3,0.7,0.8,87.2,0.6,2.1,2.8,0.5,0.7,0.2,0.3,1.2,9.5,1,0,-1,73,76.005295,-3.005295
9,35,70,44,26,31.5,17.6,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4,90.7,0.4,4.6,5,6.7,2.3,1.6,0.2,2.3,36.6,10,0,4.7,88,88.665825,-0.665825
10,22,13,4,9,10.9,3.8,1.5,3.1,50,0.4,1.4,27.8,0.4,0.5,83.3,0.2,1.2,1.4,0.5,0.2,0.3,0.1,1.5,7.3,0,0,0.2,70,67.85847,2.14153
11,29,66,33,33,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,0.5,3.8,4.3,8,2.9,1.1,0.3,1.7,48.4,19,1,1.3,94,94.213264,-0.213264
12,31,62,37,25,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7,0.1,1.2,28.9,3,0,3.7,83,83.91197,-0.91197
13,24,35,10,25,13.9,4.5,1.6,3.4,47.1,0.4,1.2,34.9,0.9,1.2,74.4,0.3,1.6,1.9,1.1,0.9,0.4,0.2,1.1,9.5,0,0,-3.1,73,70.35731,2.64269
14,27,63,40,23,30.4,10.5,3.7,8.6,42.7,2,5.6,36.3,1.2,1.4,81.1,0.9,3.3,4.2,1.3,0.9,1.1,0.5,2.1,21.6,2,0,2,76,75.365,0.635
15,27,20,8,12,13.4,5.2,1.9,3.6,52.1,0.6,1.4,42.9,0.9,1.4,66.7,0.4,1.9,2.3,0.4,0.4,0.6,0.6,1.6,11.6,0,0,1.8,73,68.52088,4.47912
16,22,63,19,44,32,12.3,4.4,10.8,41,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,1.6,0.7,0.3,2.9,21.8,3,0,-4.1,75,74.92276,0.07724
17,31,56,27,29,22,8.3,3.4,5.1,66.6,0,0,0,1.5,2.2,68,2.5,7.5,10,1.9,1.3,0.3,0.9,2,25.6,13,0,-0.7,80,79.00971,0.99029
18,26,65,40,25,30.8,18.9,7,14.8,46.9,1.9,5,38.5,3,3.6,83.9,0.3,3.3,3.6,4,2.6,0.7,0.2,2.2,29.5,0,0,3.6,80,83.50808,-3.50808
19,30,44,17,27,17.6,5.8,2.3,5.8,40,0.5,2.4,20.6,0.7,0.8,83.3,1.4,4.3,5.7,0.5,1.3,0.6,0.9,3,16.6,3,0,-0.6,72,71.968864,0.031136
20,23,69,43,26,34.3,24,8.7,19.4,44.9,2.5,6.9,36.6,4,4.7,86.3,0.8,3.6,4.4,4.3,2.7,1,0.2,2.5,36.6,1,0,1.6,88,89.30763,-1.30763
21,30,43,10,33,28.4,8,2.9,7.3,38.9,0.8,3,27.9,1.5,1.9,75.9,0.5,5.7,6.2,6.2,2.3,1.4,0.8,2.6,28.9,8,2,-4.5,79,71.09476,7.90524
22,24,31,16,15,14.4,4.9,2,4.6,43,0.5,1.7,26.4,0.5,0.9,55.2,0.4,1.1,1.5,1.8,0.7,0.5,0.3,1.4,11,0,0,-0.9,71,70.108986,0.891014
23,30,61,48,13,27,14.9,5.5,11.5,47.5,1.2,3.5,34.4,2.8,3.5,79,0.7,3.9,4.6,5.4,2.4,0.9,0.4,2.1,30.2,2,0,7.1,83,84.80973,-1.80973
24,25,1,0,1,19,6,2,3,66.7,0,0,0,2,2,100,2,5,7,0,0,0,0,5,14.4,0,0,8,68,88.210205,-20.210205
25,26,9,6,3,13.1,6.9,2.6,5.7,45.1,0.7,2.3,28.6,1.1,1.9,58.8,0.6,1.6,2.1,3.2,1.2,0.6,0.1,1.2,15,0,0,0.2,69,72.580315,-3.580315
26,22,72,42,30,21.7,9.8,3.4,7.8,43,2,4.9,40.2,1.1,1.4,75.5,0.3,2.1,2.3,1.1,0.8,0.6,0.2,1.4,15.8,0,0,1.3,75,75.18907,-0.18907
27,24,9,5,4,9.2,2.4,0.9,4.1,21.6,0.7,3,22.2,0,0,0,0,0.6,0.6,0.7,0.1,0.6,0,0.7,5.7,0,0,-3.4,67,68.540146,-1.540146
28,23,18,8,10,12.6,5.4,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,1,1.3,0.6,0.4,0.4,0.1,1.8,8.9,0,0,1.9,71,67.32318,3.67682
29,25,56,37,19,31.8,10.4,3.9,9.3,42,1.3,3.8,33.3,1.3,1.6,81.5,0.5,2.4,2.9,2.1,1.1,1.4,0.3,2.1,20.8,0,0,2.2,76,76.151665,-0.151665
30,27,29,13,16,14.9,3.9,1.7,4,41.4,0.4,1.6,28.3,0.1,0.3,50,0.9,1.9,2.8,1.7,0.7,1.1,0.2,1.9,13.1,1,0,-4.8,72,71.75573,0.24427
31,25,63,51,12,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10,63.3,2.2,11.4,13.6,5.6,3.7,1,1,3.1,56.6,56,4,10.8,97,102.56227,-5.56227
32,34,59,37,22,28.2,16.2,5.4,12.3,44.1,2.1,5.7,36.7,3.2,4.2,77.6,0.5,2.7,3.2,5.1,2.4,0.7,0.2,2.1,27.7,3,0,2.8,79,81.93551,-2.93551
33,24,38,16,22,18.9,8.7,3.1,6.6,46.6,1.5,3.7,40.4,1,1.2,86.7,0.2,2,2.2,1.4,0.9,0.3,0.1,1.4,13.5,0,0,-2.5,72,73.40946,-1.40946
34,27,34,21,13,13.8,4.6,2,3.4,59.1,0.1,0.4,15.4,0.5,0.8,66.7,0.6,2,2.6,0.6,0.4,0.5,0.4,1.9,10.7,0,0,0.6,73,71.413216,1.586784
